"trial","block","actor","mean_percent","mean_same"
9,"emotion-regulation","e1",22.093023255814,77.906976744186
9,"emotion-regulation","e2",68.8311688311688,68.8311688311688
9,"food","f1",22.0779220779221,77.9220779220779
9,"food","f2",81.3953488372093,81.3953488372093
9,"non-social","ns1",36.25,63.75
9,"non-social","ns2",68.6746987951807,68.6746987951807
10,"emotion-regulation","e1",12.7906976744186,87.2093023255814
10,"emotion-regulation","e2",71.4285714285714,71.4285714285714
10,"food","f1",18.1818181818182,81.8181818181818
10,"food","f2",80.2325581395349,80.2325581395349
10,"non-social","ns1",30,70
10,"non-social","ns2",72.289156626506,72.289156626506
11,"emotion-regulation","e1",20.9302325581395,79.0697674418605
11,"emotion-regulation","e2",74.025974025974,74.025974025974
11,"food","f1",14.2857142857143,85.7142857142857
11,"food","f2",86.046511627907,86.046511627907
11,"non-social","ns1",26.25,73.75
11,"non-social","ns2",84.3373493975904,84.3373493975904
12,"emotion-regulation","e1",25.5813953488372,74.4186046511628
12,"emotion-regulation","e2",71.4285714285714,71.4285714285714
12,"food","f1",27.2727272727273,72.7272727272727
12,"food","f2",81.3953488372093,81.3953488372093
12,"non-social","ns1",32.5,67.5
12,"non-social","ns2",72.289156626506,72.289156626506
13,"emotion-regulation","e1",23.2558139534884,76.7441860465116
13,"emotion-regulation","e2",75.3246753246753,75.3246753246753
13,"food","f1",15.5844155844156,84.4155844155844
13,"food","f2",88.3720930232558,88.3720930232558
13,"non-social","ns1",27.5,72.5
13,"non-social","ns2",69.8795180722892,69.8795180722892
14,"emotion-regulation","e1",23.2558139534884,76.7441860465116
14,"emotion-regulation","e2",74.025974025974,74.025974025974
14,"food","f1",24.6753246753247,75.3246753246753
14,"food","f2",82.5581395348837,82.5581395348837
14,"non-social","ns1",21.25,78.75
14,"non-social","ns2",74.6987951807229,74.6987951807229
15,"emotion-regulation","e1",24.4186046511628,75.5813953488372
15,"emotion-regulation","e2",76.6233766233766,76.6233766233766
15,"food","f1",15.5844155844156,84.4155844155844
15,"food","f2",76.7441860465116,76.7441860465116
15,"non-social","ns1",23.75,76.25
15,"non-social","ns2",83.1325301204819,83.1325301204819
16,"emotion-regulation","e1",16.2790697674419,83.7209302325581
16,"emotion-regulation","e2",79.2207792207792,79.2207792207792
16,"food","f1",23.3766233766234,76.6233766233766
16,"food","f2",83.7209302325581,83.7209302325581
16,"non-social","ns1",17.5,82.5
16,"non-social","ns2",80.7228915662651,80.7228915662651
17,"emotion-regulation","e1",12.7906976744186,87.2093023255814
17,"emotion-regulation","e2",72.7272727272727,72.7272727272727
17,"food","f1",19.4805194805195,80.5194805194805
17,"food","f2",89.5348837209302,89.5348837209302
17,"non-social","ns1",28.75,71.25
17,"non-social","ns2",81.9277108433735,81.9277108433735
18,"emotion-regulation","e1",15.1162790697674,84.8837209302326
18,"emotion-regulation","e2",77.9220779220779,77.9220779220779
18,"food","f1",20.7792207792208,79.2207792207792
18,"food","f2",75.5813953488372,75.5813953488372
18,"non-social","ns1",25,75
18,"non-social","ns2",74.6987951807229,74.6987951807229
19,"emotion-regulation","e1",18.6046511627907,81.3953488372093
19,"emotion-regulation","e2",68.8311688311688,68.8311688311688
19,"food","f1",16.8831168831169,83.1168831168831
19,"food","f2",83.7209302325581,83.7209302325581
19,"non-social","ns1",23.75,76.25
19,"non-social","ns2",74.6987951807229,74.6987951807229
20,"emotion-regulation","e1",25.5813953488372,74.4186046511628
20,"emotion-regulation","e2",72.7272727272727,72.7272727272727
20,"food","f1",19.4805194805195,80.5194805194805
20,"food","f2",83.7209302325581,83.7209302325581
20,"non-social","ns1",23.75,76.25
20,"non-social","ns2",81.9277108433735,81.9277108433735
